position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Ranil Wickremesinghe,Q983402,2022-07-15,male,1949-03-24,,"Prime Minister of the Democratic Socialist Republic of Sri Lanka, Mr. Ranil Wickremesinghe, at Hyderabad House, in New Delhi on November 23, 2017.jpg",Ranil Wickremesinghe
Prime Minister,Dinesh Gunawardena,Q5278077,2022-07-22,male,1949-03-02,,Dinesh Gunawardena.jpg,Dinesh Gunawardena
Minister of Agriculture,Mahinda Amaraweera,Q6734019,2022-05-12,male,1962-02-12,,,Mahinda Amaraweera
"Minister of Buddhasasana, Religious & Cultural Affairs",Vidura Wickremenayake,Q7928153,2022-05-20,male,1959-07-11,,,Vidura Wickremanayake
Minister of Education,Susil Premajayantha,Q7649082,2022-05-12,male,1955-01-10,,Susil Premajayantha.jpg,Susil Premajayantha
Minister of Energy,Kanchana Wijesekera,Q20987515,2022-04-18,male,1982-04-27,,,Kanchana Wijesekera
Minister of Environment,Ahamed Nazeer Zainulabdeen,Q19010837,2022-04-18,male,,,,Ahamed Nazeer Zainulabdeen
Minister of Finance,Ranil Wickremesinghe,Q983402,2022-05-12,male,1949-03-24,,"Prime Minister of the Democratic Socialist Republic of Sri Lanka, Mr. Ranil Wickremesinghe, at Hyderabad House, in New Delhi on November 23, 2017.jpg",Ranil Wickremesinghe
Minister of Fisheries,Douglas Devananda,Q3536605,2020-08-12,male,1957-11-10,,Douglas Devananda 2014.jpg,Douglas Devananda
Minister of Foreign Affairs,Ali Sabry,Q98293656,2022-07-22,male,1970-05-01,,,Ali Sabry (Sri Lankan politician)
Minister of Health,Keheliya Rambukwella,Q6383477,2022-05-20,male,1954-09-21,,,Keheliya Rambukwella
Minister of Highways,Bandula Gunawardane,Q11057149,2022-05-12,male,1953-03-15,,,Bandula Gunawardane
Minister of Home Affairs,Dinesh Gunawardena,Q5278077,2022-04-18,male,1949-03-02,,Dinesh Gunawardena.jpg,Dinesh Gunawardena
Minister of Industries,Ramesh Pathirana,Q7289433,2022-05-12,male,1969,,,Ramesh Pathirana
Minister of Irrigation,Roshan Ranasinghe,Q19605011,2022-05-12,male,1975-10-25,,,Roshan Ranasinghe
Minister of Justice,Wijeyadasa Rajapakshe,Q7999787,2022-05-12,male,1959-03-16,,Wijeyadasa Rajapakshe.jpg,Wijeyadasa Rajapakshe
Minister of Labour,Manusha Nanayakkara,Q6753220,2022-05-12,male,1977-09-24,,,Manusha Nanayakkara
Minister of Lands,Harin Fernando,Q16217323,2022-05-20,male,1978-10-28,,Harin Fernando.jpg,Harin Fernando
Minister of Mass Media,Bandula Gunawardane,Q11057149,2022-05-12,male,1953-03-15,,,Bandula Gunawardane
Minister of Plantation,Ramesh Pathirana,Q7289433,2022-05-12,male,1969,,,Ramesh Pathirana
Minister of Power,Kanchana Wijesekera,Q20987515,2022-04-18,male,1982-04-27,,,Kanchana Wijesekera
Minister of Public Security,Tiran Alles,Q7809097,2022-05-20,male,1925,,,Tiran Alles
Minister of Tourism,Harin Fernando,Q16217323,2022-05-20,male,1978-10-28,,Harin Fernando.jpg,Harin Fernando
Minister of Trade,Nalin Fernando,Q98686658,2022-05-12,male,1973-05-08,,,Nalin Fernando
Minister of Transport,Bandula Gunawardane,Q11057149,2022-05-12,male,1953-03-15,,,Bandula Gunawardane
Minister of Urban Development & Housing,Prasanna Ranatunga,Q7238464,2022-05-12,male,,,,Prasanna Ranatunga
Minister of Water Supply,Keheliya Rambukwella,Q6383477,2022-05-23,male,1954-09-21,,,Keheliya Rambukwella
Minister of Wildlife & Forest Conservation,Mahinda Amaraweera,Q6734019,2022-05-12,male,1962-02-12,,,Mahinda Amaraweera
Minister of Youth and Sports,Roshan Ranasinghe,Q19605011,2022-05-12,male,1975-10-25,,,Roshan Ranasinghe
Chief Justice,Jayantha Jayasuriya,Q60788733,2019-04-29,male,,,,Jayantha Jayasuriya
Attorney General,Sanjay Rajaratnam,Q106920046,2021-05-26,male,,,,Sanjay Rajaratnam
Chief Whip,Prasanna Ranatunga,Q7238464,2022-04-18,male,,,,Prasanna Ranatunga
Chief of the Defence Staff,Shavendra Silva,Q16195805,2020-01-01,male,1964-06-22,,,Shavendra Silva
Governor of the Central Bank,Nandalal Weerasinghe,Q111493511,2022-04-08,male,,,,Nandalal Weerasinghe
Speaker of the Parliament,Mahinda Yapa Abeywardena,Q6734031,2020-08-20,male,1945-10-10,,Mahinda Yapa Abeywardena.JPG,Mahinda Yapa Abeywardena
Mayor of Colombo,Rosy Senanayake,Q7370151,2018-03-19,female,1958-01-05,,Rosy Senanayake.jpg,Rosy Senanayake
