item,itemLabel,position,positionLabel,startDate,endDate
Q983402,Ranil Wickramasinghe,,President of Sri Lanka,2022-07-21,
Q983402,Ranil Wickramasinghe,,Minister of Finance,2022-05-25,
Q5278077,Dinesh Gunawardena,,Prime Minister,2022-07-22,
Q5278077,Dinesh Gunawardena,,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",2022-04-18,
Q7238464,Prasanna Ranatunga,,Minister of Urban Development and Housing,2022-07-22,
Q20987515,Kanchana Wijesekera,,Minister of Power,2022-07-22,
Q20987515,Kanchana Wijesekera,,Minister of Energy,2022-07-22,
Q7649082,Susil Premajayantha,,Minister of Education,2022-05-20,
Q6383477,Keheliya Rambukwella,,Minister of Health,2022-07-22,
Q6383477,Keheliya Rambukwella,,Minister of Water Supply,2022-07-22,
Q7999787,Wijeyadasa Rajapakshe,,"Minister of Justice, Prison Affairs and Constitutional Reforms",2022-05-12,
Q16217323,Harin Fernando,,Minister of Tourism,2022-07-22,
Q16217323,Harin Fernando,,Minister of Lands,2022-07-22,
Q6734019,Mahinda Amaraweera,,Minister of Agriculture,2022-07-22,
Q6734019,Mahinda Amaraweera,,Minister of Wildlife and Forest Conservation,2022-05-12,
Q3536605,Douglas Devananda,,Minister of Fisheries,2020-08-12,
Q6753220,Manusha Nanayakkara,,Minister of Labour and Foreign Employment,2022-07-22,
Q11057149,Bandula Gunawardena,,Minister of Transport,2022-07-22,
Q11057149,Bandula Gunawardena,,Minister of Highways,2022-07-22,
Q11057149,Bandula Gunawardena,,Minister of Mass Media,2022-05-23,
Q7289433,Ramesh Pathirana,,Minister of Plantation Industries,2022-04-18,
Q7289433,Ramesh Pathirana,,Minister of Industries,2022-05-20,
Q7928153,Vidura Wickremanayake,,"Minister of Buddhasasana, Religious and Cultural Affairs",2022-05-20,
Q98686658,Nalin Fernando,,"Minister of Trade, Commerce and Food Security",2022-05-20,
Q7809097,Tiran Alles,,Minister of Public Security,2022-05-20,
Q19010837,Ahamed Nazeer Zainulabdeen,,Minister of Environment,2022-04-18,
Q19605011,Roshan Ranasinghe,,Minister of Sports and Youth Affairs,2022-04-18,
Q19605011,Roshan Ranasinghe,,Minister of Irrigation,2022-07-22,
Q98293656,Ali Sabry,,Minister of Foreign Affairs,2022-07-22,
