item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q11057149,Bandula Gunawardane,Q107612163,Minister of Mass Media,2022-05-12,,,Q11057149-056DE99B-04F9-4429-9573-7502478AAB8C
Q11057149,Bandula Gunawardane,Q29057378,Minister of Transport,2022-05-12,,,Q11057149-6CF8FEBD-1440-4A42-8119-97D1F61BB0FE
Q11057149,Bandula Gunawardane,Q107612169,Minister of Highways,2022-05-12,,,Q11057149-89C0963D-2F74-4368-8159-84091A97748E
Q16217323,Harin Fernando,Q107612089,Minister of Tourism,2022-05-20,,,Q16217323-45E54A56-5539-4F49-B883-E8B0AB53AE9C
Q16217323,Harin Fernando,Q107612072,Minister of Lands,2022-05-20,,,Q16217323-6EA7CCA9-50E3-41B9-91B5-0FE2C2E7CA44
Q19010837,Ahamed Nazeer Zainulabdeen,Q107612159,Minister of Environment,2022-04-18,,,Q19010837-043144BD-E4C8-4DF4-AD6D-1A50270BC08E
Q19605011,Roshan Ranasinghe,Q107612188,Minister of Irrigation,2022-05-12,,,Q19605011-42E0EC87-1332-4DF4-AAFD-3BFF8658E29B
Q19605011,Roshan Ranasinghe,Q107611999,Minister of Youth and Sports,2022-05-12,,,Q19605011-FD3ACC46-40C4-4812-B244-1FDA131AF27C
Q20987515,Kanchana Wijesekera,Q107612065,Minister of Energy,2022-04-18,,,Q20987515-255B95E1-016B-44C5-BCA5-145B97BE20A9
Q20987515,Kanchana Wijesekera,Q107612182,Minister of Power,2022-04-18,,,Q20987515-8283C8FF-AA3B-41BC-9CDC-5A16FFC4DC86
Q3536605,Douglas Devananda,Q107612184,Minister of Fisheries,2020-08-12,,,Q3536605-7ACB0202-65F2-4D64-B656-DA27247D8C58
Q5278077,Dinesh Gunawardena,Q112630063,Minister of Home Affairs,2022-04-18,,,Q5278077-4D05E75F-C7AE-4CE9-ACE3-2ACA3BCF0545
Q5313444,Dullas Alahapperuma,Q29057378,Minister of Transport,2007,,,Q5313444-817d3a64-4525-705d-4b67-3c4ccb822860
Q6383477,Keheliya Rambukwella,Q107612059,Minister of Water Supply,2022-05-23,,,Q6383477-214BF8A8-67A7-4C1B-B5CA-F041913EE84D
Q6383477,Keheliya Rambukwella,Q107612203,Minister of Health,2022-05-20,,,Q6383477-E9AE870C-8257-4AE3-A828-B0A17A95A22D
Q6734019,Mahinda Amaraweera,Q107612145,Minister of Agriculture,2022-05-12,,,Q6734019-469F20D0-31C1-4A56-B0AA-B264AB3FD81A
Q6734019,Mahinda Amaraweera,Q107612192,Minister of Wildlife & Forest Conservation,2022-05-12,,,Q6734019-89C181E2-3713-468F-AAA3-E23A368182B3
Q6753220,Manusha Nanayakkara,Q107612143,Minister of Labour,2022-05-12,,,Q6753220-F97D7691-3605-4434-9CF4-81696D8FBDEB
Q7238464,Prasanna Ranatunga,Q107612154,Minister of Urban Development & Housing,2022-05-12,,,Q7238464-32EB3ABE-C531-40F1-958A-2DD84EAE21C0
Q7289433,Ramesh Pathirana,Q107612053,Minister of Industries,2022-05-12,,,Q7289433-22EAFAC3-53E7-4EBE-8457-F2025C034D11
Q7289433,Ramesh Pathirana,Q107612083,Minister of Plantation,2022-05-12,,,Q7289433-3F1BF617-ADB7-4916-A490-E65D6C88C064
Q7649082,Susil Premajayantha,Q16056497,Minister of Education,2022-05-12,,,Q7649082-5A010675-92DE-4CA2-96A0-97673ED70212
Q7809097,Tiran Alles,Q107612070,Minister of Public Security,2022-05-20,,,Q7809097-AE883EB9-4E0B-40D5-8B2D-B698BBDFC96F
Q7928153,Vidura Wickremenayake,Q107612151,"Minister of Buddhasasana, Religious & Cultural Affairs",2022-05-20,,,Q7928153-1F279324-8D7D-4785-A544-28DD1843CFF4
Q7999787,Wijeyadasa Rajapakshe,Q16056498,Minister of Justice,2022-05-12,,,Q7999787-3FDEDA47-207C-40C9-8F02-A2960DBCA85F
Q98293656,Ali Sabry,Q4294928,Minister of Foreign Affairs of Sri Lanka,2022-07-22,,,Q98293656-26089887-4BEA-415B-B9C8-9ECF1B7AE8B1
Q983402,Ranil Wickremesinghe,Q2914380,President of Sri Lanka,2022-07-15,,,Q983402-A8120FDD-777F-4CF0-8973-62C0695AF63B
Q983402,Ranil Wickremesinghe,Q6866137,Minister of Finance of Sri Lanka,2022-05-12,,,Q983402-D0506772-1E02-48F5-B3A9-8EEEF5BE753F
Q98686658,Nalin Fernando,Q107612201,Minister of Trade,2022-05-12,,,Q98686658-3619AE79-B3DD-4040-8FC7-E634C22DD560
