@@,item,itemlabel,startdate,enddate
---,Q559898,D. M. Jayaratne,1994-08-19,2001-12-12
+++,Q559898,D. M. Jayaratne,2000-10-19,2001-09-14
+++,Q559898,D. M. Jayaratne,2001-09-14,
+++,Q6737124,Maithripala Sirisena,2007-01-28,
->,Q6734031,Mahinda Yapa Abeywardena,2010->2010-04-23,2015-01-12
->,Q12984402,Duminda Dissanayake,2015-01-12,2018-05-01->2015-03-22
+++,Q12984402,Duminda Dissanayake,2015-03-22,
---,Q10969775,Mahindananda Aluthgamage,2020-08-12,2022-04-18
---,Q16197383,Janaka Wakkumbura,2022-04-18,2022-05-12
---,Q6734019,Mahinda Amaraweera,2022-05-12,
