position,title
Q2914380,President
Q1758894,Prime Minister
Q107612145,Minister of Agriculture
Q107612151,"Minister of Buddhasasana, Religious & Cultural Affairs"
Q16056689,Minister of Defence
Q108132925,Minister of Development Co-ordination and Monitoring
Q107612156,Minister of Economic Policies & Plan Implementation
Q16056497,Minister of Education
Q107612065,Minister of Energy
Q107612159,Minister of Environment
Q6866137,Minister of Finance
Q107612184,Minister of Fisheries
Q4294928,Minister of Foreign Affairs
Q107612203,Minister of Health
Q107612169,Minister of Highways
Q112630063,Minister of Home Affairs
Q107612053,Minister of Industries
Q107612188,Minister of Irrigation
Q16056498,Minister of Justice
Q107612143,Minister of Labour
Q107612072,Minister of Lands
Q107612163,Minister of Mass Media
Q107612083,Minister of Plantation
Q107612079,Minister of Ports & Shipping
Q107612182,Minister of Power
Q107612070,Minister of Public Security
Q107612173,"Minister of Public Services, Provincial Councils & Local Government"
Q107970219,Minister of Technology
Q107612089,Minister of Tourism
Q107612201,Minister of Trade
Q29057378,Minister of Transport
Q107612154,Minister of Urban Development & Housing
Q107612059,Minister of Water Supply
Q107612192,Minister of Wildlife & Forest Conservation
Q107611999,Minister of Youth and Sports
Q5096802,Chief Justice
Q4818655,Attorney General
Q7557782,Solicitor General
Q25212049,Chief Whip
Q5097053,Chief of the Defence Staff
Q25348547,Governor of the Central Bank
Q3811146,Speaker of the Parliament
Q6797692,Mayor of Colombo
